acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,chill,upbeat,feels,acoustic
0.235,0.626,0.726,0,0.304,-5.015,0.0376,0.257,89.132,1,0,0,0
0.855,0.507,0.375,0.00981,0.11,-10.637,0.0256,0.0519,90.006,1,0,0,0
0.119,0.83,0.532,0.00114,0.112,-10.855,0.0409,0.891,120.046,1,0,0,0
0.512,0.672,0.664,0.000555,0.114,-9.656,0.0365,0.143,108.022,1,0,0,0
0.0142,0.539,0.593,0,0.0852,-7.057,0.0513,0.293,160.042,1,0,0,0
0.786,0.642,0.374,0,0.0906,-9.386,0.0545,0.0799,124.099,1,0,0,0
0.392,0.738,0.504,0.137,0.123,-10.407,0.0424,0.564,84.99,1,0,0,0
0.842,0.687,0.467,0.838,0.0873,-11.511,0.0332,0.0984,126.0,1,0,0,0
0.739,0.87,0.546,0.316,0.111,-10.645,0.0495,0.208,120.068,1,0,0,0
0.848,0.703,0.33,0.00122,0.072,-13.49,0.0508,0.413,115.009,1,0,0,0
0.929,0.637,0.209,0,0.0865,-17.192,0.091,0.446,119.929,1,0,0,0
0.11,0.683,0.572,1.54e-05,0.0895,-7.086,0.0447,0.583,100.035,1,0,0,0
0.862,0.598,0.502,0,0.096,-6.273,0.0447,0.403,121.621,1,0,0,0
0.0498,0.445,0.677,2.68e-06,0.616,-7.244,0.0489,0.269,80.907,1,0,0,0
0.256,0.66,0.581,0,0.0892,-6.056,0.0408,0.329,145.912,1,0,0,0
0.352,0.8,0.41,1.45e-06,0.107,-12.734,0.236,0.442,104.941,1,0,0,0
0.6,0.553,0.521,0.491,0.108,-8.971,0.038,0.373,172.103,1,0,0,0
0.552,0.644,0.382,0.822,0.123,-14.721,0.071,0.671,169.977,1,0,0,0
0.12,0.294,0.505,0,0.0977,-8.106,0.042,0.357,85.332,1,0,0,0
0.0686,0.674,0.774,0.00188,0.393,-7.567,0.0892,0.33,112.05,1,0,0,0
0.229,0.435,0.86,0.147,0.116,-6.374,0.154,0.39,168.523,1,0,0,0
0.627,0.652,0.204,0.041,0.112,-15.032,0.0428,0.417,126.978,1,0,0,0
0.595,0.774,0.274,0,0.133,-7.584,0.0512,0.397,119.834,1,0,0,0
0.589,0.555,0.436,0.904,0.151,-12.4,0.0257,0.299,90.002,1,0,0,0
0.22,0.824,0.783,0,0.234,-4.53,0.0507,0.788,114.028,1,0,0,0
0.522,0.608,0.388,0.118,0.11,-11.675,0.0341,0.145,138.058,1,0,0,0
0.84,0.687,0.414,8e-05,0.379,-8.441,0.0346,0.547,123.023,1,0,0,0
0.301,0.666,0.454,0.00187,0.142,-9.325,0.149,0.263,135.988,1,0,0,0
0.193,0.746,0.501,0,0.473,-7.388,0.079,0.844,95.014,1,0,0,0
0.307,0.478,0.682,0.823,0.242,-9.262,0.0323,0.442,174.035,1,0,0,0
0.604,0.459,0.575,0,0.0885,-4.858,0.0573,0.183,111.881,1,0,0,0
0.00295,0.731,0.636,0.00059,0.196,-6.845,0.0314,0.703,122.996,1,0,0,0
0.0833,0.733,0.552,7.59e-06,0.141,-7.404,0.0993,0.279,125.311,1,0,0,0
0.377,0.246,0.467,0.166,0.104,-12.964,0.0374,0.0602,157.443,1,0,0,0
0.459,0.814,0.534,4.57e-06,0.101,-7.56,0.0471,0.226,121.93,1,0,0,0
0.671,0.85,0.223,3.23e-05,0.0914,-11.46,0.0705,0.468,95.008,1,0,0,0
0.139,0.6,0.701,1.21e-06,0.12,-6.035,0.0606,0.723,163.975,1,0,0,0
0.918,0.784,0.278,0.000196,0.112,-10.745,0.041,0.741,105.034,1,0,0,0
0.227,0.764,0.396,7.54e-05,0.12,-8.566,0.159,0.475,92.006,1,0,0,0
0.838,0.466,0.253,1.33e-06,0.254,-6.265,0.0334,0.342,140.629,1,0,0,0
0.361,0.517,0.594,0.0055,0.106,-8.763,0.0414,0.221,100.043,1,0,0,0
0.866,0.464,0.473,0,0.109,-10.086,0.129,0.604,75.801,1,0,0,0
0.578,0.757,0.381,0,0.104,-7.573,0.0381,0.527,84.989,1,0,0,0
0.177,0.708,0.39,0,0.0872,-6.617,0.0371,0.367,76.985,1,0,0,0
0.816,0.753,0.41,0.00217,0.104,-10.636,0.132,0.231,93.001,1,0,0,0
0.367,0.742,0.718,0.417,0.169,-7.241,0.0429,0.0929,113.963,1,0,0,0
0.527,0.637,0.661,0,0.18,-5.217,0.05,0.694,151.148,1,0,0,0
0.734,0.777,0.716,8.3e-05,0.116,-7.342,0.256,0.829,120.052,1,0,0,0
0.561,0.568,0.7,0,0.378,-5.159,0.0378,0.377,79.991,1,0,0,0
0.882,0.559,0.38,0.0274,0.133,-12.701,0.0491,0.431,178.002,1,0,0,0
0.294,0.749,0.383,6.63e-05,0.115,-13.404,0.152,0.334,125.384,1,0,0,0
0.686,0.702,0.616,0,0.145,-4.903,0.326,0.507,80.482,1,0,0,0
0.111,0.668,0.792,0,0.134,-3.369,0.0327,0.467,139.933,1,0,0,0
0.132,0.732,0.558,0.00118,0.11,-9.411,0.0395,0.501,130.019,1,0,0,0
0.784,0.826,0.624,1.73e-06,0.112,-8.386,0.25,0.894,115.94,1,0,0,0
0.899,0.363,0.12,2.34e-05,0.162,-11.662,0.0358,0.176,71.024,1,0,0,0
